Date,VZ.US
1989-08-21,8.21781
1989-08-22,8.20319
1989-08-23,8.30808
1989-08-24,8.46747
1989-08-25,8.44564
1989-08-28,8.43834
1989-08-29,8.30808
1989-08-30,8.33721
1989-08-31,8.38629
1989-09-01,8.47991
1989-09-05,8.44564
1989-09-06,8.39143
1989-09-07,8.37484
1989-09-08,8.32674
1989-09-11,8.32062
1989-09-12,8.32674
1989-09-13,8.24319
1989-09-14,8.30808
1989-09-15,8.33721
1989-09-18,8.38629
1989-09-19,8.42787
1989-09-20,8.41523
1989-09-21,8.38629
1989-09-22,8.49917
1989-09-25,8.42787
1989-09-26,8.43834
1989-09-27,8.44564
1989-09-28,8.54411
1989-09-29,8.56455
1989-10-02,8.56455
1989-10-03,8.65304
1989-10-04,8.7989
1989-10-05,8.8229
1989-10-06,8.92383
1989-10-09,8.94328
1989-10-10,8.98763
1989-10-11,8.99316
1989-10-12,8.94328
1989-10-13,8.46243
1989-10-16,8.5919
1989-10-17,8.6162
1989-10-18,8.60247
1989-10-19,8.73283
1989-10-20,8.85855
1989-10-23,8.83603
1989-10-24,8.8229
1989-10-25,8.7593
1989-10-26,8.66745
1989-10-27,8.66745
1989-10-30,8.69451
1989-10-31,8.87712
1989-11-01,8.90892
1989-11-02,8.87712
1989-11-03,8.85855
1989-11-06,8.7989
1989-11-07,8.83603
1989-11-08,8.87712
1989-11-09,8.8229
1989-11-10,8.85855
1989-11-13,8.89953
1989-11-14,8.90892
1989-11-15,9.01962
1989-11-16,8.9661
1989-11-17,8.97627
1989-11-20,8.89953
1989-11-21,8.85855
1989-11-22,8.87712
1989-11-24,8.92383
1989-11-27,8.89953
1989-11-28,8.89953
1989-11-29,8.85855
1989-11-30,8.94328
1989-12-01,9.24844
1989-12-04,9.2915
1989-12-05,9.21368
1989-12-06,9.18573
1989-12-07,9.20124
1989-12-08,9.25417
1989-12-11,9.2915
1989-12-12,9.51529
1989-12-13,9.68021
1989-12-14,9.68021
1989-12-15,9.72268
1989-12-18,9.45109
1989-12-19,9.355
1989-12-20,9.31204
1989-12-21,9.30227
1989-12-22,9.47282
1989-12-26,9.39382
1989-12-27,9.47282
1989-12-28,9.51035
1989-12-29,9.65651
1990-01-02,9.89847
1990-01-03,9.87476
1990-01-04,9.59133
1990-01-05,9.36962
1990-01-08,9.44517
1990-01-09,9.18573
1990-01-10,8.94328
1990-01-11,8.97627
1990-01-12,8.5919
1990-01-15,8.62232
1990-01-16,8.71101
1990-01-17,8.5919
1990-01-18,8.57077
1990-01-19,8.6558
1990-01-22,8.26393
1990-01-23,8.39775
1990-01-24,8.32674
1990-01-25,8.29672
1990-01-26,8.32062
1990-01-29,8.33721
1990-01-30,8.30808
1990-01-31,8.57077
1990-02-01,8.60247
1990-02-02,8.58084
1990-02-05,8.43834
1990-02-06,8.19885
1990-02-07,8.1314
1990-02-08,8.04459
1990-02-09,8.11876
1990-02-12,8.07649
1990-02-13,8.04459
1990-02-14,8.04459
1990-02-15,8.07649
1990-02-16,7.97911
1990-02-20,7.64976
1990-02-21,7.60413
1990-02-22,7.59228
1990-02-23,7.61796
1990-02-26,7.71652
1990-02-27,7.79533
1990-02-28,7.87552
1990-03-01,7.96479
1990-03-02,7.99946
1990-03-05,8.01773
1990-03-06,8.20744
1990-03-07,8.1314
1990-03-08,8.21781
1990-03-09,8.14236
1990-03-12,8.15441
1990-03-13,8.03027
1990-03-14,7.94741
1990-03-15,7.92519
1990-03-16,7.97911
1990-03-19,8.04459
1990-03-20,7.97911
1990-03-21,7.94741
1990-03-22,7.92519
1990-03-23,8.03027
1990-03-26,8.06602
1990-03-27,8.17307
1990-03-28,8.19885
1990-03-29,8.19885
1990-03-30,8.27242
1990-04-02,8.34965
1990-04-03,8.49315
1990-04-04,8.43399
1990-04-05,8.35558
1990-04-06,8.39775
1990-04-09,8.37484
1990-04-10,8.35558
1990-04-11,8.42155
1990-04-12,8.54411
1990-04-16,8.66202
1990-04-17,8.68829
1990-04-18,8.60899
1990-04-19,8.50915
1990-04-20,8.47359
1990-04-23,8.36802
1990-04-24,8.28388
1990-04-25,8.33306
1990-04-26,8.30808
1990-04-27,8.23183
1990-04-30,8.29672
1990-05-01,8.38629
1990-05-02,8.40822
1990-05-03,8.49917
1990-05-04,8.67269
1990-05-07,8.78774
1990-05-08,8.82853
