Date,MRK.US
1989-08-11,6.4396
1989-08-14,6.50714
1989-08-15,6.62925
1989-08-16,6.6833
1989-08-17,6.63619
1989-08-18,6.60861
1989-08-21,6.52054
1989-08-22,6.43275
1989-08-23,6.49395
1989-08-24,6.57499
1989-08-25,6.48681
1989-08-28,6.52054
1989-08-29,6.52817
1989-08-30,6.46013
1989-08-31,6.46013
1989-09-01,6.49395
1989-09-05,6.44664
1989-09-06,6.35816
1989-09-07,6.26384
1989-09-08,6.23646
1989-09-11,6.32434
1989-09-12,6.28367
1989-09-13,6.23646
1989-09-14,6.19589
1989-09-15,6.23646
1989-09-18,6.29736
1989-09-19,6.33793
1989-09-20,6.33793
1989-09-21,6.33793
1989-09-22,6.35162
1989-09-25,6.30431
1989-09-26,6.26384
1989-09-27,6.51409
1989-09-28,6.71038
1989-09-29,6.66991
1989-10-02,6.66991
1989-10-03,6.81215
1989-10-04,6.77813
1989-10-05,6.84587
1989-10-06,6.86621
1989-10-09,6.86621
1989-10-10,6.84587
1989-10-11,6.79836
1989-10-12,6.72407
1989-10-13,6.40597
1989-10-16,6.58183
1989-10-17,6.6223
1989-10-18,6.69015
1989-10-19,6.81215
1989-10-20,6.84587
1989-10-23,6.84587
1989-10-24,6.85252
1989-10-25,6.88624
1989-10-26,6.7576
1989-10-27,6.63619
1989-10-30,6.67646
1989-10-31,6.85252
1989-11-01,6.84587
1989-11-02,6.81215
1989-11-03,6.71038
1989-11-06,6.64948
1989-11-07,6.70364
1989-11-08,6.8797
1989-11-09,6.90003
1989-11-10,7.04217
1989-11-13,6.70364
1989-11-14,6.65652
1989-11-15,6.73736
1989-11-16,6.7576
1989-11-17,6.73736
1989-11-20,6.79162
1989-11-21,6.77813
1989-11-22,6.84587
1989-11-24,6.98841
1989-11-27,6.93385
1989-11-28,6.93385
1989-11-29,6.8797
1989-11-30,6.9406
1989-12-01,6.9406
1989-12-04,6.92731
1989-12-05,6.81889
1989-12-06,6.79836
1989-12-07,6.8054
1989-12-08,6.78487
1989-12-11,6.82554
1989-12-12,6.82554
1989-12-13,6.8054
1989-12-14,6.82554
1989-12-15,6.8054
1989-12-18,6.70364
1989-12-19,6.70364
1989-12-20,6.70364
1989-12-21,6.66267
1989-12-22,6.76494
1989-12-26,6.70364
1989-12-27,6.77128
1989-12-28,6.81889
1989-12-29,6.85946
1990-01-02,6.96103
1990-01-03,7.06954
1990-01-04,6.96103
1990-01-05,6.81889
1990-01-08,6.90677
1990-01-09,6.85252
1990-01-10,6.76494
1990-01-11,6.81889
1990-01-12,6.64948
1990-01-15,6.48681
1990-01-16,6.47342
1990-01-17,6.37205
1990-01-18,6.46013
1990-01-19,6.50714
1990-01-22,6.27693
1990-01-23,6.3654
1990-01-24,6.43275
1990-01-25,6.31125
1990-01-26,6.37205
1990-01-29,6.38564
1990-01-30,6.34497
1990-01-31,6.39903
1990-02-01,6.37205
1990-02-02,6.41926
1990-02-05,6.37205
1990-02-06,6.25005
1990-02-07,6.4396
1990-02-08,6.4396
1990-02-09,6.45289
1990-02-12,6.38564
1990-02-13,6.31125
1990-02-14,6.31125
1990-02-15,6.4396
1990-02-16,6.33119
1990-02-20,6.27693
1990-02-21,6.22287
1990-02-22,6.17566
1990-02-23,6.01973
1990-02-26,6.06715
1990-02-27,6.10781
1990-02-28,6.05366
1990-03-01,6.1214
1990-03-02,6.16177
1990-03-05,6.16177
1990-03-06,6.28367
1990-03-07,6.19589
1990-03-08,6.14848
1990-03-09,6.10107
1990-03-12,6.10107
1990-03-13,5.97946
1990-03-14,6.08073
1990-03-15,6.14848
1990-03-16,6.30431
1990-03-19,6.3176
1990-03-20,6.22952
1990-03-21,6.16177
1990-03-22,6.12805
1990-03-23,6.20254
1990-03-26,6.21633
1990-03-27,6.35816
1990-03-28,6.40597
1990-03-29,6.32434
1990-03-30,6.19589
1990-04-02,6.27038
1990-04-03,6.38564
1990-04-04,6.35162
1990-04-05,6.42601
1990-04-06,6.48056
1990-04-09,6.54097
1990-04-10,6.57499
1990-04-11,6.58183
1990-04-12,6.66267
1990-04-16,6.59542
1990-04-17,6.57499
1990-04-18,6.62925
1990-04-19,6.64948
1990-04-20,6.62925
1990-04-23,6.54097
1990-04-24,6.4396
1990-04-25,6.46013
1990-04-26,6.52817
1990-04-27,6.4396
1990-04-30,6.52817
1990-05-01,6.52817
1990-05-02,6.5617
1990-05-03,6.54791
1990-05-04,6.5617
