Date,MSFT.US
1989-02-22,0.292219
1989-02-23,0.300021
1989-02-24,0.292219
1989-02-27,0.292219
1989-02-28,0.292219
1989-03-01,0.292219
1989-03-02,0.300021
1989-03-03,0.300021
1989-03-06,0.307853
1989-03-07,0.260583
1989-03-08,0.260583
1989-03-09,0.252681
1989-03-10,0.252681
1989-03-13,0.260583
1989-03-14,0.260583
1989-03-15,0.24487
1989-03-16,0.252681
1989-03-17,0.229037
1989-03-20,0.229037
1989-03-21,0.24487
1989-03-22,0.24487
1989-03-23,0.24487
1989-03-27,0.24487
1989-03-28,0.24487
1989-03-29,0.24487
1989-03-30,0.24487
1989-03-31,0.24487
1989-04-03,0.24487
1989-04-04,0.24487
1989-04-05,0.24487
1989-04-06,0.252681
1989-04-07,0.252681
1989-04-10,0.252681
1989-04-11,0.252681
1989-04-12,0.236928
1989-04-13,0.236928
1989-04-14,0.252681
1989-04-17,0.252681
1989-04-18,0.260583
1989-04-19,0.268415
1989-04-20,0.276486
1989-04-21,0.268415
1989-04-24,0.268415
1989-04-25,0.268415
1989-04-26,0.268415
1989-04-27,0.268415
1989-04-28,0.276486
1989-05-01,0.268415
1989-05-02,0.268415
1989-05-03,0.268415
1989-05-04,0.260583
1989-05-05,0.252681
1989-05-08,0.252681
1989-05-09,0.260583
1989-05-10,0.268415
1989-05-11,0.268415
1989-05-12,0.268415
1989-05-15,0.268415
1989-05-16,0.276486
1989-05-17,0.284298
1989-05-18,0.284298
1989-05-19,0.284298
1989-05-22,0.292219
1989-05-23,0.276486
1989-05-24,0.284298
1989-05-25,0.284298
1989-05-26,0.292219
1989-05-30,0.292219
1989-05-31,0.300021
1989-06-01,0.292219
1989-06-02,0.284298
1989-06-05,0.276486
1989-06-06,0.284298
1989-06-07,0.292219
1989-06-08,0.292219
1989-06-09,0.292219
1989-06-12,0.292219
1989-06-13,0.284298
1989-06-14,0.284298
1989-06-15,0.276486
1989-06-16,0.276486
1989-06-19,0.276486
1989-06-20,0.268415
1989-06-21,0.268415
1989-06-22,0.276486
1989-06-23,0.276486
1989-06-26,0.268415
1989-06-27,0.268415
1989-06-28,0.260583
1989-06-29,0.252681
1989-06-30,0.260583
1989-07-03,0.268415
1989-07-05,0.268415
1989-07-06,0.260583
1989-07-07,0.260583
1989-07-10,0.268415
1989-07-11,0.260583
1989-07-12,0.260583
1989-07-13,0.260583
1989-07-14,0.260583
1989-07-17,0.260583
1989-07-18,0.260583
1989-07-19,0.268415
1989-07-20,0.260583
1989-07-21,0.268415
1989-07-24,0.268415
1989-07-25,0.252681
1989-07-26,0.260583
1989-07-27,0.260583
1989-07-28,0.268415
1989-07-31,0.268415
1989-08-01,0.268415
1989-08-02,0.268415
1989-08-03,0.268415
