Date,HD.US
1990-03-14,1.6307
1990-03-15,1.66161
1990-03-16,1.68466
1990-03-19,1.76157
1990-03-20,1.73097
1990-03-21,1.70762
1990-03-22,1.67681
1990-03-23,1.72322
1990-03-26,1.76157
1990-03-27,1.76933
1990-03-28,1.74627
1990-03-29,1.73097
1990-03-30,1.72322
1990-04-02,1.72322
1990-04-03,1.76933
1990-04-04,1.74627
1990-04-05,1.76933
1990-04-06,1.77688
1990-04-09,1.78463
1990-04-10,1.78463
1990-04-11,1.76933
1990-04-12,1.76933
1990-04-16,1.76933
1990-04-17,1.74627
1990-04-18,1.72322
1990-04-19,1.75392
1990-04-20,1.73097
1990-04-23,1.69996
1990-04-24,1.70762
1990-04-25,1.72322
1990-04-26,1.73097
1990-04-27,1.71527
1990-04-30,1.76157
1990-05-01,1.80768
1990-05-02,1.83859
1990-05-03,1.85409
1990-05-04,1.89235
