Date,CVX.US
1989-09-05,5.58505
1989-09-06,5.55946
1989-09-07,5.69941
1989-09-08,5.69267
1989-09-11,5.65488
1989-09-12,5.71201
1989-09-13,5.68047
1989-09-14,5.57236
1989-09-15,5.58505
1989-09-18,5.69267
1989-09-19,5.69941
1989-09-20,5.66738
1989-09-21,5.65488
1989-09-22,5.69267
1989-09-25,5.63574
1989-09-26,5.63574
1989-09-27,5.58505
1989-09-28,5.6041
1989-09-29,5.8836
1989-10-02,5.80108
1989-10-03,5.96612
1989-10-04,6.06153
1989-10-05,6.24592
1989-10-06,6.36652
1989-10-09,6.27151
1989-10-10,6.34133
1989-10-11,6.46819
1989-10-12,6.35383
1989-10-13,5.77569
1989-10-16,6.1632
1989-10-17,6.16955
1989-10-18,6.27151
1989-10-19,6.39172
1989-10-20,6.44915
1989-10-23,6.25881
1989-10-24,6.25881
1989-10-25,6.4301
1989-10-26,6.34133
1989-10-27,6.40481
1989-10-30,6.48723
1989-10-31,6.65247
1989-11-01,6.66497
1989-11-02,6.63363
1989-11-03,6.69056
1989-11-06,6.2964
1989-11-07,6.2964
1989-11-08,6.13781
1989-11-09,5.99816
1989-11-10,6.05519
1989-11-13,6.09327
1989-11-14,6.01085
1989-11-15,6.20128
1989-11-16,6.25226
1989-11-17,6.22668
1989-11-20,6.11876
1989-11-21,6.16955
1989-11-22,6.284
1989-11-24,6.33498
1989-11-27,6.65247
1989-11-28,6.60169
1989-11-29,6.66497
1989-11-30,6.69056
1989-12-01,6.86205
1989-12-04,6.91333
1989-12-05,6.90093
1989-12-06,7.0144
1989-12-07,6.50628
1989-12-08,6.51917
1989-12-11,6.51917
1989-12-12,6.63988
1989-12-13,6.60169
1989-12-14,6.65247
1989-12-15,6.60169
1989-12-18,6.61439
1989-12-19,6.59514
1989-12-20,6.53177
1989-12-21,6.58255
1989-12-22,6.60169
1989-12-26,6.54436
1989-12-27,6.56985
1989-12-28,6.53177
1989-12-29,6.60169
1990-01-02,6.74144
1990-01-03,6.63363
1990-01-04,6.54436
1990-01-05,6.4428
1990-01-08,6.50628
1990-01-09,6.45539
1990-01-10,6.45539
1990-01-11,6.47464
1990-01-12,6.26496
1990-01-15,6.2964
1990-01-16,6.42385
1990-01-17,6.38557
1990-01-18,6.4301
1990-01-19,6.53177
1990-01-22,6.27746
1990-01-23,6.38557
1990-01-24,6.37317
1990-01-25,6.2964
1990-01-26,6.27746
1990-01-29,6.27746
1990-01-30,6.34748
1990-01-31,6.51917
1990-02-01,6.49368
1990-02-02,6.54436
1990-02-05,6.58255
1990-02-06,6.54436
1990-02-07,6.69056
1990-02-08,6.91838
1990-02-09,6.81186
1990-02-12,6.67826
1990-02-13,6.73529
1990-02-14,6.8554
1990-02-15,6.84866
1990-02-16,6.88784
1990-02-20,6.81801
1990-02-21,6.74799
1990-02-22,6.69691
1990-02-23,6.5889
1990-02-26,6.73529
1990-02-27,6.64593
1990-02-28,6.60794
1990-03-01,6.69056
1990-03-02,6.7223
1990-03-05,6.65872
1990-03-06,6.74799
1990-03-07,6.77338
1990-03-08,6.78597
1990-03-09,6.73529
1990-03-12,6.75999
1990-03-13,6.69691
1990-03-14,6.79887
1990-03-15,6.74799
1990-03-16,6.91333
1990-03-19,6.81801
1990-03-20,6.69691
1990-03-21,6.64593
1990-03-22,6.63988
1990-03-23,6.62708
1990-03-26,6.55081
1990-03-27,6.5763
1990-03-28,6.63988
1990-03-29,6.65872
1990-03-30,6.64593
1990-04-02,6.60169
1990-04-03,6.69056
1990-04-04,6.67826
1990-04-05,6.71
1990-04-06,6.69056
1990-04-09,6.69056
1990-04-10,6.65872
1990-04-11,6.48723
1990-04-12,6.5763
1990-04-16,6.60794
1990-04-17,6.5763
1990-04-18,6.44915
1990-04-19,6.44915
1990-04-20,6.39172
1990-04-23,6.29035
1990-04-24,6.37952
1990-04-25,6.43645
1990-04-26,6.43645
1990-04-27,6.41731
1990-04-30,6.48723
1990-05-01,6.52532
1990-05-02,6.5889
1990-05-03,6.64593
1990-05-04,6.68372
1990-05-07,6.71
