Date,PG.US
1990-03-19,5.94769
1990-03-20,6.00412
1990-03-21,5.99756
1990-03-22,5.8838
1990-03-23,5.92633
1990-03-26,6.00412
1990-03-27,6.08251
1990-03-28,6.07526
1990-03-29,6.01863
1990-03-30,5.976
1990-04-02,5.9619
1990-04-03,6.10328
1990-04-04,6.01863
1990-04-05,6.06115
1990-04-06,6.04665
1990-04-09,6.1461
1990-04-10,6.24555
1990-04-11,6.2385
1990-04-12,6.28053
1990-04-16,6.28053
1990-04-17,6.29523
1990-04-18,6.19608
1990-04-19,6.10328
1990-04-20,6.04665
1990-04-23,5.99756
1990-04-24,6.02568
1990-04-25,6.12484
1990-04-26,6.2385
1990-04-27,6.16011
1990-04-30,6.22419
1990-05-01,6.31649
1990-05-02,6.35892
1990-05-03,6.39429
1990-05-04,6.47904
1990-05-07,6.61436
