Date,KO.US
1988-10-21,1.93621
1988-10-24,1.92539
1988-10-25,1.94654
1988-10-26,1.91477
1988-10-27,1.87624
1988-10-28,1.87624
1988-10-31,1.88677
1988-11-01,1.90424
1988-11-02,1.92181
1988-11-03,1.90782
1988-11-04,1.89392
1988-11-07,1.85897
1988-11-08,1.86949
1988-11-09,1.84825
1988-11-10,1.84825
1988-11-11,1.82055
1988-11-14,1.82055
1988-11-15,1.84825
1988-11-16,1.80972
1988-11-17,1.81667
1988-11-18,1.83733
1988-11-21,1.84497
1988-11-22,1.85549
1988-11-23,1.88359
1988-11-25,1.827
1988-11-28,1.83733
1988-11-29,1.88359
1988-11-30,1.89739
1988-12-01,1.86582
1988-12-02,1.88359
1988-12-05,1.91477
1988-12-06,1.94257
1988-12-07,1.93621
1988-12-08,1.92539
1988-12-09,1.93621
1988-12-12,1.92539
1988-12-13,1.94654
1988-12-14,1.92539
1988-12-15,1.93214
1988-12-16,1.93621
1988-12-19,1.96729
1988-12-20,1.94654
1988-12-21,1.94257
1988-12-22,1.94257
1988-12-23,1.95686
1988-12-27,1.94654
1988-12-28,1.94654
1988-12-29,1.95279
1988-12-30,1.95279
1989-01-03,1.90424
1989-01-04,1.95279
1989-01-05,1.98466
1989-01-06,1.96729
1989-01-09,1.96729
1989-01-10,1.94654
1989-01-11,1.94654
1989-01-12,1.95686
1989-01-13,1.94654
1989-01-16,1.94654
1989-01-17,1.94654
1989-01-18,1.96371
1989-01-19,1.96729
1989-01-20,1.96729
1989-01-23,1.96371
1989-01-24,1.98129
1989-01-25,1.98466
1989-01-26,2.00243
1989-01-27,2.01286
1989-01-30,2.03043
1989-01-31,2.04423
1989-02-01,2.05178
1989-02-02,2.05178
1989-02-03,2.05803
1989-02-06,2.07918
1989-02-07,2.10023
1989-02-08,2.11095
1989-02-09,2.0899
1989-02-10,2.05178
1989-02-13,2.05803
1989-02-14,2.04423
1989-02-15,2.08295
1989-02-16,2.10023
1989-02-17,2.14212
1989-02-21,2.10023
1989-02-22,2.05178
1989-02-23,2.06865
1989-02-24,2.03381
1989-02-27,2.05178
1989-02-28,2.0899
1989-03-01,2.10023
1989-03-02,2.1178
1989-03-03,2.12822
1989-03-06,2.15662
1989-03-07,2.14212
1989-03-08,2.17747
